Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

8280	920	SearchHost.exe	0x800180094080	71	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
5284	920	RuntimeBroker.	0x8001801540c0	14	-	2	False	2024-05-09 23:42:21.000000 	N/A	Disabled
732	8304	msedgewebview2	0x8001801c70c0	46	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
2356	768	svchost.exe	0xaa8810105080	5	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
100	4	Registry	0xaa8810108080	4	-	N/A	False	2024-05-10 06:19:56.000000 	N/A	Disabled
2540	768	svchost.exe	0xaa881019e080	4	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2204	768	svchost.exe	0xaa88101a0080	4	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2464	768	svchost.exe	0xaa88101d9080	2	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2408	768	svchost.exe	0xaa88101e4080	2	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2416	768	svchost.exe	0xaa88101e6080	3	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2768	1044	MoNotification	0xaa8810c28080	6	-	2	False	2024-05-09 23:39:39.000000 	N/A	Disabled
5704	768	svchost.exe	0xaa8810c5d080	2	-	1	False	2024-05-09 23:22:29.000000 	N/A	Disabled
8332	6008	SecurityHealth	0xaa8810f8b080	2	-	2	False	2024-05-09 23:24:39.000000 	N/A	Disabled
9676	920	dllhost.exe	0xaa8810f95080	10	-	2	False	2024-05-09 23:24:30.000000 	N/A	Disabled
7736	768	svchost.exe	0xaa881317d0c0	3	-	1	False	2024-05-09 23:22:09.000000 	N/A	Disabled
1636	768	svchost.exe	0xaa8813181080	6	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
7376	1224	taskhostw.exe	0xaa8813185080	8	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
3468	768	svchost.exe	0xaa8813188080	5	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
6008	836	explorer.exe	0xaa881319c0c0	48	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
2124	8164	fontdrvhost.ex	0xaa881320b0c0	5	-	2	False	2024-05-09 23:24:05.000000 	N/A	Disabled
424	4	smss.exe	0xaa88132b0080	2	-	N/A	False	2024-05-10 06:19:59.000000 	N/A	Disabled
8388	8324	msedge.exe	0xaa881331e080	0	-	2	False	2024-05-09 23:24:26.000000 	2024-05-09 23:24:27.000000 	Disabled
7436	920	ApplicationFra	0xaa881337a0c0	2	-	1	False	2024-05-09 23:22:29.000000 	N/A	Disabled
4408	768	svchost.exe	0xaa88133ba0c0	9	-	0	False	2024-05-09 23:22:10.000000 	N/A	Disabled
8656	732	msedgewebview2	0xaa88146410c0	9	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
5012	1184	msedge.exe	0xaa881500e0c0	17	-	2	False	2024-05-09 23:26:54.000000 	N/A	Disabled
10424	1184	msedge.exe	0xaa88150340c0	9	-	2	False	2024-05-09 23:26:54.000000 	N/A	Disabled
8768	920	RuntimeBroker.	0xaa881503d100	9	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
7480	2204	ctfmon.exe	0xaa8815058080	14	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
8204	768	svchost.exe	0xaa88150d90c0	0	-	0	False	2024-05-09 23:25:57.000000 	2024-05-09 23:26:02.000000 	Disabled
836	8164	userinit.exe	0xaa88150f0080	0	-	2	False	2024-05-09 23:24:10.000000 	2024-05-09 23:24:25.000000 	Disabled
7808	1044	MoNotification	0xaa88151c2080	0	-	2	False	2024-05-09 23:39:39.000000 	2024-05-09 23:39:40.000000 	Disabled
276	768	svchost.exe	0xaa8815221080	29	-	0	False	2024-05-09 23:40:05.000000 	N/A	Disabled
9312	13256	Microsoft.Shar	0xaa881556f0c0	9	-	1	False	2024-05-09 23:37:23.000000 	N/A	Disabled
8164	7100	winlogon.exe	0xaa88155c40c0	6	-	2	False	2024-05-09 23:24:05.000000 	N/A	Disabled
724	616	winlogon.exe	0xaa881570f080	3	-	1	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1376	768	svchost.exe	0xaa881575f080	4	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
3480	768	svchost.exe	0xaa88157780c0	8	-	0	False	2024-05-09 23:21:09.000000 	N/A	Disabled
7072	920	RuntimeBroker.	0xaa881580f0c0	3	-	1	False	2024-05-09 23:23:02.000000 	N/A	Disabled
