Volatility 3 Framework 2.7.0

Offset	Name	Size

0x9f800009a9e0	⨸◀￿⨸◀￿	0
0x9f800012da00	㩘◂￿㩘◂￿	0
0x9f8000178830	\Users\User\Downloads\Wireshark-4.2.4-x64.exewnload	216
0x9f8000178e70	\Windows\SysWOW64\msi.dll	216
0xe5831c4b03e0	\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_ScreenSketch_8wekyb3d8bbwe!App	216
0xe5831cb2e940	\Windows\System32\drivers\netbt.sys	216
0xe5831cb2f1e0	\Windows\System32\drivers\tdi.sys	216
0xe5831cb2f350	\Windows\System32\drivers\afunix.sys	216
0xe5831cb2f4c0	\Windows\System32\drivers\vwififlt.sys	216
0xe5831cb2f630	\Windows\System32\drivers\afd.sys	216
0xe5831cb2f7a0	\Windows\System32\drivers\pacer.sys	216
0xe5831cb2fa80	\Windows\System32\drivers\ndiscap.sys	216
0xe5831cb2fed0	\Windows\System32\drivers\tdx.sys	216
0xe5831cb770a0	\$LogFile	216
0xe5831cb77210	\$BitMap	216
0xe5831cb784c0	\$Mft	216
0xe5831cb78a80	\$MftMirr	216
0xe5831f152370	\$Directory	216
0xe5831f152500	\Windows\Fonts\segoeui.ttf	216
0xe5831f152690	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.3636_none_60b6a03d71f818d5	216
0xe5831f152820	\Users\User\AppData\Local\Microsoft\OneDrive\settings\Personal\logUploaderSettings_temp.ini	216
0xe5831f1529b0	\$Directory	216
0xe5831f152b40	\Windows\System32\en-US\twext.dll.mui	216
0xe5831f152e60	\Windows\SystemResources\notepad.exe.mun	216
0xe5831f1534a0	\Windows\System32\pcacli.dll	216
0xe5831f1537c0	\Windows\System32\msiexec.exe	216
0xe5831f153950	\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_notepad_exe	216
0xe5831f153c70	\Windows\System32\msIso.dll	216
0xe5831f153e00	\Windows\System32\winevt\Logs\Microsoft-Windows-Known Folders API Service.evtx	216
0xe5831f1542b0	\$Directory	216
0xe5831f154760	\Windows\System32\twext.dll	216
0xe5831f154c10	\Windows\Fonts\StaticCache.dat	216
0xe5831f154da0	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.StartMenuExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy\S-1-5-21-2787934183-86809313-2352333484-1000.pckgdep	216
0xe5831f1553e0	\Windows\System32\Windows.Networking.HostName.dll	216
0xe5831f155570	\Windows\System32\WorkFoldersShell.dll	216
0xe5831f155700	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db-shm	216
0xe5831f155a20	\CMApi	216
0xe5831f155bb0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\resources.pri	216
0xe5831f155d40	\$Directory	216
0xe5831f155ed0	\Windows\System32\en-US\KernelBase.dll.mui	216
0xe5831f156510	\Windows\servicing\Packages\Microsoft-OneCore-DirectX-Database-FOD-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f1569c0	\Windows\System32\cdprt.dll	216
0xe5831f156b50	\Windows\servicing\Packages\Microsoft-OneCore-ApplicationModel-Sync-Desktop-FOD-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum	216
0xe5831f156ce0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInput.dll	216
0xe5831f156e70	\$Directory	216
0xe5831f157320	\Windows\System32\WinMetadata\Windows.UI.winmd	216
0xe5831f1574b0	\Windows\System32\en-US\shell32.dll.mui	216
0xe5831f1577d0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp.dll	216
0xe5831f157960	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\vccorlib140_app.dll	216
0xe5831f157c80	\Windows\System32\UserDataTimeUtil.dll	216
0xe5831f158130	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy	216
0xe5831f1582c0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LayoutData.dll	216
0xe5831f158450	\$Directory	216
0xe5831f1585e0	\Windows\SystemResources\zipfldr.dll.mun	216
0xe5831f158900	\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApi.ProxyStub.dll	216
0xe5831f158a90	\Program Files\Windows Defender\en-US\shellext.dll.mui	216
0xe5831f159710	\Windows\System32\en-US\ntshrui.dll.mui	216
0xe5831f159a30	\Program Files\Windows Defender\shellext.dll	216
0xe5831f159ee0	\Windows\System32\wuapi.dll	216
0xe5831f15a200	\Windows\Fonts\simsun.ttc	216
0xe5831f15a390	\Windows\System32\en-US\windows.storage.dll.mui	216
0xe5831f15a520	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.3636_none_60b6a03d71f818d5	216
0xe5831f15a840	\Windows\System32\msiexec.exe	216
0xe5831f15a9d0	\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_notepad_exe	216
0xe5831f15ab60	\$Directory	216
0xe5831f15ae80	\Windows\System32\notepad.exe	216
0xe5831f15b330	\Users\User\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db	216
0xe5831f15b650	\Windows\System32\en-US\zipfldr.dll.mui	216
0xe5831f15b970	\Windows\servicing\Packages\Microsoft-Windows-CoreEdition~31bf3856ad364e35~amd64~~10.0.19041.3803.mum	216
0xe5831f15bb00	\Windows\System32\en-US\mpr.dll.mui	216
0xe5831f15bc90	\Windows\servicing\Packages\Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~~11.0.19041.3636.mum	216
0xe5831f15be20	\Windows\System32\davclnt.dll	216
0xe5831f15c140	\Windows\servicing\Packages\Microsoft-Windows-FodMetadata-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f15c2d0	\Windows\servicing\Packages\Microsoft-Windows-LanguageFeatures-Speech-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f15c460	\$Directory	216
0xe5831f15c5f0	\Windows\SoftwareDistribution\Download\574ea5e93a93625d3c1b7092246bf566\Metadata\UAOneSettings.dll	216
0xe5831f15c780	\Windows\servicing\Packages\Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f15c910	\Windows\servicing\Packages\Microsoft-Windows-LanguageFeatures-Basic-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f15caa0	\Windows\servicing\Packages\Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3758.mum	216
0xe5831f15cc30	\Windows\servicing\Packages\Microsoft-Windows-Hello-Face-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum	216
0xe5831f15cdc0	\Windows\System32\OneSettingsClient.dll	216
0xe5831f15d0e0	\Windows\servicing\Packages\Microsoft-Windows-LanguageFeatures-Handwriting-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum	216
0xe5831f15d270	\Windows\servicing\Packages\Microsoft-Windows-MediaPlayer-Package~31bf3856ad364e35~amd64~~10.0.19041.3803.mum	216
0xe5831f15d400	\Windows\SystemResources\edgehtml.dll.mun	216
0xe5831f15d590	\Windows\System32\dlnashext.dll	216
0xe5831f15d720	\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_MicrosoftStickyNotes_8wekyb3d8bbwe!App	216
0xe5831f15d8b0	\Windows\System32\drprov.dll	216
