Volatility 3 Framework 2.7.0

Offset	Name	Size

0x8a8fe4ea8570	\Windows\System32\apisampling.dll	216
0x8a8fe4eaf4f0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTWFP-IPsec Diagnostics.etl	216
0x8a8fe52827e0	\Windows\System32\drivers\rdbss.sys	216
0x8a8fe5282c30	\Windows\System32\drivers\netbios.sys	216
0x8a8fe5282da0	\Windows\System32\drivers\ndiscap.sys	216
0x8a8fe52834d0	\Windows\System32\drivers\npsvctrig.sys	216
0x8a8fe52837b0	\Windows\System32\drivers\afd.sys	216
0x8a8fe5283920	\Windows\System32\drivers\netbt.sys	216
0x8a8fe5283d70	\Windows\System32\drivers\pacer.sys	216
0x8a8fe5283ee0	\Windows\System32\drivers\nsiproxy.sys	216
0x8a8fe52841c0	\Windows\System32\drivers\afunix.sys	216
0x8a8fe57b50c0	\Windows\System32\imagehlp.dll	216
0x8a8fe57b5570	\Windows\System32\locale.nls	216
0x8a8fe57b5a20	\Windows	216
0x8a8fe57b5bb0	\Windows\System32\imm32.dll	216
0x8a8fe57b5d40	\ProtectedPrefix\NetWorkService	216
0x8a8fe57b5ed0	\Windows\System32\wow64base.dll	216
0x8a8fe5a65210	\$Extend:$I30:$INDEX_ALLOCATION	216
0x8a8fe5a65660	\$Extend\$RmMetadata\$Repair	216
0x8a8fe5a657d0	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA	216
0x8a8fe5a65940	\$Mft::$BITMAP	216
0x8a8fe5a66070	\$Secure:$SDS:$DATA	216
0x8a8fe5a661e0	\$LogFile	216
0x8a8fe5a66350	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0x8a8fe5a66630	\$BitMap	216
0x8a8fe5a667a0	\$MftMirr	216
0x8a8fe5a66910	\$Secure:$SII:$INDEX_ALLOCATION	216
0x8a8fe5a66a80	\:$I30:$INDEX_ALLOCATION	216
0x8a8fe5a66bf0	\$Mft	216
0x8a8fe5a66ed0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0x8a8fe5aa90a0	\Windows\System32\vertdll.dll	216
0x8a8fe5aa9660	TxfLog	216
0x8a8fe5aa9940	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0x8a8fe5aa9ab0	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0x8a8fe5aa9c20	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0x8a8fe5aa9d90	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x8a8fe5aaa1e0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0x8a8fe5aaa350	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x8a8fe5aaa630	\$Extend\$UsnJrnl:$J:$DATA	216
0x8a8fe5aaa910	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0x8a8fe5aaaed0	\$Extend\$RmMetadata\$Repair:$Verify:$DATA	216
0x8a8fe5ac2390	\$Extend\$Reparse:$R:$INDEX_ALLOCATION	216
0x8a8fe5ac2500	\Windows\System32\drivers\Dumpstorport.sys	216
0x8a8fe5ac2950	\Windows\System32\drivers\crashdmp.sys	216
0x8a8fe5ac2ac0	\Windows\System32\drivers\en-US\ntfs.sys.mui	216
0x8a8fe5ac3080	KtmLog	216
0x8a8fe5ac34d0	\$Directory	216
0x8a8fe5ac3640	\$Directory	216
0x8a8fe5ac37b0	\$Directory	216
0x8a8fe5ac3a90	\:$I30:$INDEX_ALLOCATION	216
0x8a8fe5ac3c00	\$Directory	216
0x8a8fe5ac4330	\$Directory	216
0x8a8fe5ac4610	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x8a8fe5ac4780	\$Directory	216
0x8a8fe5ac48f0	\Windows\System32\drivers\stornvme.sys	216
0x8a8fe5ac5300	\Windows\System32\ntdll.dll	216
0x8a8fe5ac5470	\Windows\System32\drivers\filecrypt.sys	216
0x8a8fe5ac5a30	\Windows\SysWOW64\ntdll.dll	216
0x8a8fe5ac5ba0	\$Directory	216
0x8a8fe5ac5d10	\Windows\System32\drivers\cdrom.sys	216
0x8a8fe5ac5e80	\$Directory	216
0x8a8fe5ada0b0	\Windows\System32\drivers\npfs.sys	216
0x8a8fe5ada500	\Windows\System32\drivers\watchdog.sys	216
0x8a8fe5adaac0	\Windows\System32\drivers\null.sys	216
0x8a8fe5adac30	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_7e9cb61920ccc040\BasicDisplay.sys	216
0x8a8fe5adb080	\$Directory	216
0x8a8fe5adb4d0	\Windows\System32\drivers\tbs.sys	216
0x8a8fe5adb7b0	\Windows\System32\drivers\dxgkrnl.sys	216
0x8a8fe5adbee0	\$Directory	216
0x8a8fe5adc1c0	\Windows\System32\drivers\vmrawdsk.sys	216
0x8a8fe5adc330	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_1c03174c7c755975\BasicRender.sys	216
0x8a8fe5adceb0	\Windows\System32\drivers\ws2ifsl.sys	216
0x8a8fe5add470	\Windows\System32\drivers\cimfs.sys	216
0x8a8fe5add5e0	\Windows\System32\drivers\tdx.sys	216
0x8a8fe5add750	\Windows\System32\drivers\tdi.sys	216
0x8a8fe5adda30	\Windows\System32\drivers\msfs.sys	216
0x8a8fe5af00d0	\Windows\System32\sxs.dll	216
0x8a8fe5af0260	\Windows\System32\Chakra.dll	216
0x8a8fe5af0580	\CMNotify	216
0x8a8fe5af0710	\Windows\System32\ServicingCommon.dll	216
0x8a8fe5af08a0	\$Directory	216
0x8a8fe5af0a30	\Windows\Fonts\segoeui.ttf	216
0x8a8fe5af0bc0	\InitShutdown	216
0x8a8fe5af0d50	\InitShutdown	216
0x8a8fe5af0ee0	\Windows\System32\smartscreenps.dll	216
0x8a8fe5af1200	\InitShutdown	216
0x8a8fe5af1390	\$Directory	216
0x8a8fe5af1520	\$Directory	216
0x8a8fe5af16b0	\Windows\System32\svchost.exe	216
0x8a8fe5af1840	\Windows\System32	216
0x8a8fe5af1b60	\Windows\System32\wmitomi.dll	216
0x8a8fe5af1e80	\CMNotify	216
0x8a8fe5af21a0	\Windows\System32\winlogon.exe	216
0x8a8fe5af2330	\DumpStack.log.tmp	216
0x8a8fe5af24c0	\Windows\System32\umpdc.dll	216
0x8a8fe5af27e0	\Windows\System32\powrprof.dll	216
0x8a8fe5af2970	\Windows\System32\utcapi.dll	216
0x8a8fe5af2c90	\Windows\System32\services.exe	216
0x8a8fe5af32d0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputCommon.dll	216
0x8a8fe5af3460	\Windows\System32	216
0x8a8fe5af35f0	\Windows\System32\lsass.exe	216
0x8a8fe5af3780	\Windows\System32	216
0x8a8fe5af3910	\Windows\System32\EventAggregation.dll	216
0x8a8fe5af3aa0	\Users\Administrator\AppData\Local\Microsoft\Windows\WebCache\V01.log	216
0x8a8fe5af3c30	\Windows\System32\cfgmgr32.dll	216
0x8a8fe5af3dc0	\Windows\System32\winsta.dll	216
0x8a8fe5bda0c0	\Windows\System32\ucrtbase.dll	216
0x8a8fe5bda250	\Windows\System32\comctl32.dll	216
0x8a8fe5bda700	\Windows\System32\setupapi.dll	216
0x8a8fe5bda890	\Windows\System32\user32.dll	216
0x8a8fe5bdabb0	\Windows\System32\combase.dll	216
0x8a8fe5bdad40	\Windows\System32\msvcp_win.dll	216
0x8a8fe5bdaed0	\Windows\System32\KernelBase.dll	216
0x8a8fe5bdb1f0	\Windows\System32\difxapi.dll	216
0x8a8fe5bdb380	\Windows\System32\shlwapi.dll	216
0x8a8fe5bdb510	\Windows\System32\bcryptprimitives.dll	216
0x8a8fe5bdb6a0	\Windows\System32\advapi32.dll	216
0x8a8fe5bdb830	\Windows\System32\clbcatq.dll	216
0x8a8fe5bdb9c0	\Windows\System32\crypt32.dll	216
0x8a8fe5bdbb50	\Windows\System32\wow64.dll	216
0x8a8fe5bdbce0	\Windows\System32\sechost.dll	216
0x8a8fe5bdbe70	\Windows\System32\oleaut32.dll	216
0x8a8fe5e02150	\Windows\System32\AppContracts.dll	216
0x8a8fe5e02470	\Windows\System32	216
0x8a8fe5e02600	\Windows\SysWOW64\kernel.appcore.dll	216
0x8a8fe5e02790	\Windows\System32\en-US\svchost.exe.mui	216
0x8a8fe5e02920	\Windows\System32\ExecModelClient.dll	216
0x8a8fe5e02ab0	\wkssvc	216
0x8a8fe5e02c40	\Windows\System32\PackageStateChangeHandler.dll	216
0x8a8fe5e02dd0	\Windows\System32\twinui.appcore.dll	216
0x8a8fe5e03280	\Windows\System32\en-US\ESENT.dll.mui	216
0x8a8fe5e03410	\Windows\System32	216
0x8a8fe5e03730	\Windows\System32\MrmDeploy.dll	216
0x8a8fe5e03a50	\Windows\System32\execmodelproxy.dll	216
0x8a8fe5e03d70	\Windows\System32\svchost.exe	216
0x8a8fe5e04090	\Windows\System32\wlidprov.dll	216
0x8a8fe5e043b0	\Windows\System32\winspool.drv	216
0x8a8fe5e04540	\Windows\System32\notificationplatformcomponent.dll	216
0x8a8fe5e04860	\Windows\System32\ncryptprov.dll	216
0x8a8fe5e049f0	\Windows\System32\WindowManagement.dll	216
0x8a8fe5e04b80	\Windows\System32\dafBth.dll	216
0x8a8fe5e04d10	\Users\Administrator\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db-shm	216
0x8a8fe5e051c0	\Windows\System32\en-US\winnlsres.dll.mui	216
0x8a8fe5e05350	\$Directory	216
0x8a8fe5e05670	\Windows\System32\SmartCardBackgroundPolicy.dll	216
0x8a8fe5e05800	\Windows\System32\PrintIsolationProxy.dll	216
0x8a8fe5e05990	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy	216
0x8a8fe5e05b20	\Windows\System32\en-US\localspl.dll.mui	216
0x8a8fe5e05cb0	\CMNotify	216
0x8a8fe5e05e40	\Windows\System32\SebBackgroundManagerPolicy.dll	216
0x8a8fe5e06160	\Windows\System32\AudioSes.dll	216
0x8a8fe5e062f0	\Windows\System32\wifidatacapabilityhandler.dll	216
0x8a8fe5e06480	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e06610	\Windows\System32\cdpsvc.dll	216
0x8a8fe5e067a0	\Windows\System32\localspl.dll	216
0x8a8fe5e06ac0	\Windows\System32\UiaManager.dll	216
0x8a8fe5e06c50	\Windows\System32\spoolss.dll	216
0x8a8fe5e06de0	\Windows\System32\sfc_os.dll	216
0x8a8fe5e07100	\Windows\System32\Windows.Networking.BackgroundTransfer.BackgroundManagerPolicy.dll	216
0x8a8fe5e07290	\Windows\System32\ShareHost.dll	216
0x8a8fe5e075b0	\Windows\System32\ACPBackgroundManagerPolicy.dll	216
0x8a8fe5e07740	\Windows\ShellExperiences\TileControl.dll	216
0x8a8fe5e078d0	\Windows\System32\BackgroundMediaPolicy.dll	216
0x8a8fe5e07a60	\$Directory	216
0x8a8fe5e07bf0	\Windows\System32\en-US\crypt32.dll.mui	216
0x8a8fe5e07d80	\CMApi	216
0x8a8fe5e080a0	\Windows\System32\keyiso.dll	216
0x8a8fe5e08230	\Windows\System32\daxexec.dll	216
0x8a8fe5e083c0	\Windows\System32\container.dll	216
0x8a8fe5e08550	\Windows\System32\deviceassociation.dll	216
0x8a8fe5e08870	\Windows\System32\Windows.StateRepositoryClient.dll	216
0x8a8fe5e08a00	\Windows\System32\mssrch.dll	216
0x8a8fe5e08b90	\Windows\System32\tquery.dll	216
0x8a8fe5e08d20	\CMNotify	216
0x8a8fe5e08eb0	\Windows\System32\TileDataRepository.dll	216
0x8a8fe5e091d0	\CMNotify	216
0x8a8fe5e09360	\Dev\Query	216
0x8a8fe5e094f0	\CMNotify	216
0x8a8fe5e09680	\Dev\Query	216
0x8a8fe5e09810	\Windows\System32\APMon.dll	216
0x8a8fe5e099a0	\Windows\System32\en-US\combase.dll.mui	216
0x8a8fe5e09b30	\Windows\Registration\R000000000006.clb	216
0x8a8fe5e09cc0	\Windows\System32\en-US\dnsapi.dll.mui	216
0x8a8fe5e09e50	\Windows\System32\en-US\APMon.dll.mui	216
0x8a8fe5e0a300	\Windows\System32\en-US\crypt32.dll.mui	216
0x8a8fe5e0a490	\Windows\System32\cellulardatacapabilityhandler.dll	216
0x8a8fe5e0a620	\Windows\System32\usbmon.dll	216
